emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
fear,0.34121174,0.23069756,0.45574984,0.41346997,0.22383085,0.0,0.32320866,0.04090172,0.0,0.19380715,0.23488542,0.09718349,0.4119986,0.0,0.312542,0.46641624,0.023792874,0.12525567,0.37361953,0.4768744
angry,0.24346183,0.20825487,0.37634748,0.32333335,0.1562566,0.0,0.27665332,0.042857613,0.0,0.2059889,0.60370415,0.09126897,0.4317215,0.0,0.5613081,0.6087292,0.11087148,0.09880552,0.060280975,0.16037013
happy,0.33831885,0.4269534,0.43818113,0.26552615,0.54158646,1.0,0.5656521,0.55147636,1.0,0.8718599,0.6650512,0.6195135,0.5361102,0.0,0.3696003,0.54119325,0.28664446,0.08843029,0.5900222,0.7461195
neutral,0.29977313,0.18049057,0.22363581,0.30936283,0.38731378,0.0,0.46416047,0.1444819,0.0,0.24755222,0.45567206,0.3197772,0.5007597,1.0,0.5021817,0.5907544,0.03692628,0.16355723,0.13951656,0.1598884
surprise,0.56747645,0.23503496,0.720873,0.33175474,0.13162133,1.0,0.4064178,0.6288003,0.0,0.099040814,0.55784523,0.14764519,0.37060925,1.0,0.5979357,0.20670271,0.90118444,0.33425006,0.20526308,0.1654943
angry,0.41638827,0.19253169,0.54496795,0.46661887,0.1609717,1.0,0.408329,0.04846158,0.0,0.16609709,0.124932714,0.300861,0.31365445,1.0,0.52996427,0.061355118,0.93582654,0.0988028,0.2536396,0.16393115
neutral,0.36581752,0.3539432,0.71754134,0.4605971,0.12355949,0.0,0.19474708,0.071027614,0.0,0.024976453,0.25122583,0.59525657,0.4287134,0.0,0.58809334,0.5619608,0.017738044,0.12715472,0.43381807,0.092293784
fear,0.35064712,0.19804527,0.40127775,0.31851366,0.38817734,0.0,0.26609352,0.44691315,0.0,0.088965,0.26255465,0.26579702,0.5122038,0.0,0.44673055,0.33895096,0.14674917,0.16665228,0.09617108,0.28645948
happy,0.41872108,0.5179136,0.7866911,0.30482376,0.57699996,1.0,0.68041784,0.0025511296,1.0,0.710897,0.7549847,0.5339781,0.5588543,1.0,0.43130508,0.49325407,0.1773606,0.046971053,0.20402856,0.8640411
happy,0.4772464,0.537931,0.49662358,0.25054228,0.7397893,1.0,0.6539219,0.033947665,1.0,0.86268157,0.6891105,0.56285274,0.43994465,0.0,0.31061354,0.5483339,0.17721733,0.1608464,0.5528429,0.81765825
sad,0.36240903,0.18149427,0.73139644,0.3225145,0.2759899,0.0,0.5643619,0.16333151,0.0,0.16626532,0.5168736,0.3298956,0.47666705,0.0,0.4668919,0.5065317,0.3322693,0.20036906,0.6947067,0.56216323
surprise,0.3523081,0.24244389,0.4580537,0.3398114,0.2615443,1.0,0.46749935,0.9498359,1.0,0.40290648,0.21506582,0.20194827,0.2803285,1.0,0.77582675,0.061770678,0.9952473,0.83161455,0.11399822,0.49246064
angry,0.32633764,0.21062595,0.48352638,0.33657122,0.2703988,0.0,0.46575284,0.72005165,1.0,0.33671868,0.25561652,0.7658262,0.44991127,0.0,0.3315915,0.4336019,0.95024705,0.1988682,0.46910453,0.23524956
